Título,Calificación,Géneros,Duración,Clasificación por edades,Director,Año,Reparto
I Remember You,60%  5.6,"Drama, Romance, Ciencia ficción",1h 26min,,Claudia Sparrow,(2015),", Stefanie Butler, Joe Egender, Jordan Monaghan, Joanne Baron, Billy Evans, Malin Yhr, Steve Wilcox, Scott Cushman, Eugene Kim, Paul Gregory, Harris Shore, Robert Avellanet, Ithamar Enriquez, Bridget Hearst, Burl Moseley"
Intermission,71%  6.8 (16k),"Comedia, Crimen, Drama, Romance, Europeas",1h 45min,18,John Crowley,(2003),", Colin Farrell, Colm Meaney, Kelly Macdonald, Cillian Murphy, Brían F. O'Byrne, Shirley Henderson, David Wilmot, Michael McElhatton, Deirdre O'Kane, Ger Ryan, Barbara Bergin, Pat Laffan, Ruth McCabe, Owen Roe, John Rogan, Kerry Condon, Johnny Thompson, Emma Bolger, Dierdre Molloy, Derry Power, Neilí Conroy, Tom Farrelly, Mikel Murfi, Rory Keenan, Darragh Kelly, Hannah McCabe, Donagh Deeney, Taylor Molloy, Tom Murphy, Conleth Hill, Pascal Scott, Norma Sheahan, Cathy Belton, Catherine Farrell, Laurence Kinlan, Conor McDermottroe, Denis Conway, Jeff O'Toole, Conor Lambert, Simon Delaney, Jane Brennan, David Herlihy, Michael Hayes, Stewart Donnan, Karl Shiels, Tomás Ó Súilleabháin"
Last Days Here,79%  7.5 (1k),"Documental, Música",1h 31min,,"Don Argott ,  Demian Fenton",(2011),", Phil Anselmo"
Ode to Joy,69%  6.4 (6k),"Drama, Comedia, Romance",1h 37min,,Jason Winer,(2019),", Martin Freeman, Morena Baccarin, Jake Lacy, Melissa Rauch, Shannon Woodward, Ellis Rubin, Jane Curtin, Adam Shapiro, Jackie Seiden, Ravi Cabot-Conyers, Jason Altman, Alex Perez, Tyler Bourke, dL Sams, Ed Herbstman"
Open Water,64%  5.8 (54k),"Drama, Misterio & Suspense, Terror",1h 19min,12,Chris Kentis,(2004),", Blanchard Ryan, Daniel Travis, Saul Stein, Michael E. Williamson, Christina Zenato, John Charles"
Shelley,59%  5.2 (3k),"Drama, Terror, Europeas",1h 32min,,Ali Abbasi,(2016),", Ellen Dorrit Petersen, Cosmina Stratan, Peter Christoffersen, Björn Andrésen, Marianne Mortensen, Kenneth M. Christensen, Patricia Schumann"
Stonewall,65%  5.3 (4k),"Drama, Historia",2h 9min,16,Roland Emmerich,(2015),", Jeremy Irvine, Jonny Beauchamp, Joey King, Jonathan Rhys Meyers, Ron Perlman, Caleb Landry Jones, Matt Craven, David Cubitt, Vladimir Alexis, Ben Sullivan, Andrea Frankle, Patrick Garrow, Alexandre Nachi, Karl Glusman, Otoja Abit, Larry Day, Nastassia Markiewicz, Rohan Mead, Atticus Mitchell, Mark Camacho, Kwasi Songui, Joanne Vannicola, Wilson Gonzalez Ochsenknecht"
Stray,59%  4.8,"Fantasía, Acción & Aventura, Crimen, Misterio & Suspense",1h 29min,,Joe Sill,(2019),", Karen Fukuhara, Christine Woods, MIYAVI, Ross Partridge, Bob Bancroft, Saki Miata, Fahad Olayan, Brandon Brooks, Michael Devon"
Take Shelter,78%  7.3 (102k),"Misterio & Suspense, Drama, Terror, Ciencia ficción",2h 0min,12,Jeff Nichols,(2011),", Michael Shannon, Jessica Chastain, Katy Mixon, Shea Whigham, Ray McKinnon, Tova Stewart, Natasha Randall, Ron Kennard, Scott Knisley, Robert Longstreet, Heather Caldwell, Sheila Hullihen, Maryanne Nagel, Kathy Baker, LisaGay Hamilton, Stuart Greer, Bart Flynn, Jeffrey Grover, Molly McGinnis"
The Conversation,38%  7.9,"Drama, Historia",1h 48min,,,(2022),
The Gift,72%  6.7 (70k),"Misterio & Suspense, Terror, Drama, Documental, Acción & Aventura, Fantasía, Europeas",1h 52min,13,Sam Raimi,(2000),", Cate Blanchett, Giovanni Ribisi, Keanu Reeves, Katie Holmes, Greg Kinnear, Hilary Swank, Michael Jeter, Kim Dickens, Gary Cole, Rosemary Harris, J.K. Simmons, Chelcie Ross, John Beasley, Lynnsee Provence, Hunter McGilvray, Nathan Lee Lewis, Benjamin Peacock, Alex Lee, Clay James, David Brannen, Russell Durham Comegys, Janell McLeod, Robby Preddy, Lucky Lawrence, Mo, Boots Kutz, Buck Edwards, D.J. Pawlak, Kipp Chambers, Dallas Johnson, Stuart Greer, Jeff Bragg, Danny Elfman, S.D. Stephens, Samuel E. Parlin Jr., Ed Reddick, Rebecca Koon, Erik Cord, Yvetta Young, Sam Edens, Earl Maddox, Shawn McBride, Ray Wineteer"
Timeline,63%  5.6 (63k),"Ciencia ficción, Acción & Aventura, Guerra",1h 56min,7,Richard Donner,(2003),", Paul Walker, Frances O'Connor, Gerard Butler, Billy Connolly, David Thewlis, Anna Friel, Neal McDonough, Matt Craven, Ethan Embry, Michael Sheen, Lambert Wilson, Marton Csokas, Rossif Sutherland, David La Haye, Steve Kahan, Christian Tessier, Marie-Josée Colburn, Richard Zeman, Patrick Sabongui, Vlasta Vrana, Cas Anvar, Stephanie Biddle, Amy Sloan, Paul Tuerpe, Marian Collier, Christian Paul, Edward J. Rosen, Stephen Liska, Bruce Ramsay, Stéfanie Buxton, Cecile Cristobal, Richard Donner"
Twisted,61%  5.3 (22k),"Misterio & Suspense, Acción & Aventura, Drama, Crimen",1h 37min,12,Philip Kaufman,(2004),", Ashley Judd, Samuel L. Jackson, Andy García, David Strathairn, Russell Wong, Mark Pellegrino, Camryn Manheim, Titus Welliver, D.W. Moffett, Richard T. Jones, Leland Orser, James Oliver Bullock, William Hall, Joe Duer, Jim Hechim, Drew Letchworth, Diane Amos, Anni Long, David Tenenbaum, Leonard L. Thomas, Joe Drago, Bruce Marovich, Lyn Tomioka, Angela Tse, Ofri Fuchs, Angelo Miller, Peter Ridet, Garrett Townsend, Victor Vallejo, Carola Zertuche, Veronica Cartwright"
Jack Reacher,76%  7.0 (345k),"Drama, Acción & Aventura, Misterio & Suspense, Crimen",2h 10min,16,Christopher McQuarrie,(2011),", Tom Cruise, Rosamund Pike, Richard Jenkins, David Oyelowo, Werner Herzog, Jai Courtney, Robert Duvall, Vladimir Sizov, Joseph Sikora, Nicole Forester, Michael Raymond-James, Alexia Fast, Josh Helman, James Martin Kelly, Dylan Kussman, Denver Milord, Susan Angelo, Julia Yorks, Delilah Picart, Joe Coyle, Alicia Murton, Peter Gannon, David Whalen, Tristan Elma, Sophie Guest, Michael Minor, Scott A. Martin, CJ Ramirez, Teri Clark, Jarid Faubel, Sara Lindsey, Jace Jeanes, Andrei Runtso, Efka Kvaraciejus, Lee Child, Tommy Lafitte, Kristen Dalton, Jordan Trovillion, Annie Kitral, Lissy Gulick, Catherine Albers, Larissa Emanuele, Jason McCune, Shane Callahan, Joshua Elijah Reese, Nathan Hollabaugh, Christopher Stadulis, Joe Fishel, Robert Liscio, Ronn Surels"
Safer at Home,54%  3.8 (3k),"Misterio & Suspense, Terror, Drama, Crimen",1h 22min,18,Will Wernick,(2021),", Jocelyn Hudon, Emma Lahana, Alisa Allapach, Adwin Brown, Dan J. Johnson, Brandon Morales, Daniel Robaire, Michael Kupisk, Mark Irvingsen, Katie L. Hall, Donald Trump"
False Positive,59%  4.7 (6k),"Terror, Misterio & Suspense",1h 33min,16,John Lee,(2021),", Ilana Glazer, Justin Theroux, Pierce Brosnan, Zainab Jah, Gretchen Mol, Sophia Bush, Josh Hamilton, Kelly AuCoin, Lucy Walters, Sabina Gadecki, Francesca Faridany, Taylor Ortega, S.J. Son, Sullivan Jones, Nils Lawton"
Monster Trucks,65%  5.6 (17k),"Comedia, Ciencia ficción, Acción & Aventura, Familia, Fantasía, Animación",1h 44min,APTA,Chris Wedge,(2016),", Lucas Till, Jane Levy, Amy Ryan, Rob Lowe, Danny Glover, Barry Pepper, Holt McCallany, Frank Whaley, Thomas Lennon, Aliyah O'Brien, Tucker Albrizzi, Samara Weaving, Daniel Bacon, Faustino Di Bauda, Jedidiah Goodacre, Chris Gauthier, Scott Patey, Ryan Cowie, Ruairi MacDonald, Stacey Scowley, Adrian Formosa, Maja Aro, Philip Granger, Daniel Boileau, Peter New, Simon Chin, Devielle Johnson, Christian Sloan, Jordana Largy, Ian Carter, Howie Lai, Candice Zhao, Jagen Johnson, Giacomo Baessato, Emanuel Fappas, Chad Willett"
The Doorman,60%  4.6 (5k),"Acción & Aventura, Misterio & Suspense, Drama",1h 37min,,Ryûhei Kitamura,(2020),", Ruby Rose, Jean Reno, Aksel Hennie, Rupert Evans, Julian Feder, David Sakurai, Hideaki Ito, Philip Whitchurch, Andreea Vasile, Howard Dell, Tiberiu Harsan, Kíla Lord Cassidy, Louis Mandylor, Andreea Androne, Delianne Forget, Petre Moraru, Jamie Satterthwaite, Luke Lewis, Jo Marr, Puiu-Mircea Lăscuș, Banica Gheorghe, Raynor van de Water, Matei Negrescu, Ionut Grama, Florin Varadi, Natalya Tsvetkova, Dan Southworth"
Nasrin,98%  8.6,Documental,1h 32min,,Jeff Kaufman,(2020),", Olivia Colman, Jafar Panahi, Ann Curry, Shirin Ebadi, Nasrin Sotoudeh, Mansoureh Shojaee"
Trust,62%  6.4,"Drama, Misterio & Suspense, Documental, Familia, Crimen",1h 30min,,Allan Harmon,(2009),", Jamie Luner, Nels Lennarson, Brendan Beiser, Steven Cree Molison, Barbara Tyson"
A Glitch in the Matrix,58%  5.3 (1k),Documental,1h 48min,16,Rodney Ascher,(2021),", Nick Bostrom, Joshua Cooke, Erik Davis, Philip K. Dick, Paul Gude, Alex Levine, Laeo Mystwood, Jesse Orion"
Bloody Sunday,81%  7.6 (24k),"Drama, Europeas, Historia, Guerra",1h 47min,13,Paul Greengrass,(2002),", James Nesbitt, Allan Gildea, Gerard Crossan, Mary Moulds, Carmel McCallion, Tim Pigott-Smith, Nicholas Farrell, Christopher Villiers, James Hewitt, Declan Duddy, Edel Frazer, Joanne Lindsay, Mike Edwards, Gerry Hammond, Jason Stammers, Ken Williams, Bryan Watts, Simon Mann, Rhidian Bridge, Johnny O'Donnell, David Clayton Rogers, Sean O'Kane, Thomas McEleney, Deirdre Irvine, Gerry Newton, David Pearse, Gerard McSorley, Kathy Kiera Clarke"
Changing the Game,39%  4.0,"Drama, Acción & Aventura, Crimen",42min,,Rel Dowdell,(2012),", Tony Todd, Sticky Fingaz, Irma P. Hall, Raw Leiba, Nicoye Banks, Brandon Ruckdashel, Dennis LA White, Steve Izant"
Hanging Up,57%  4.8 (12k),"Drama, Comedia",1h 34min,7,Diane Keaton,(2000),", Lisa Kudrow, Meg Ryan, Diane Keaton, Myndy Crist, Walter Matthau, Adam Arkin, Shaun Duke, Ann Bortolotti, Cloris Leachman, Maree Cheatham, Libby Hudson, Edie McClurg, Tracee Ellis Ross, Celia Weston, Bob Kirsh, Stephanie Ittleson, Venessia Valentino, R.A. Buck, Phil Levesque, Paige Wolfe, Charles Matthau, Ethan Dampf, Mary Beth Pape, Catherine Paolone, Carol Mansell, Katie Stratton, Talia-Lynn Prairie, Kristina Dorn, Lucky Vanous, Jaffe Cohen, Johnathan Cale, Bill Robinson"
Revolutionary Road,78%  7.3 (215k),"Drama, Romance",1h 59min,13,Sam Mendes,(2008),", Leonardo DiCaprio, Kate Winslet, Kathy Bates, Michael Shannon, Kathryn Hahn, David Harbour, Dylan Baker, Richard Easton, Zoe Kazan, Jay O. Sanders, Max Baker, Max Casella, Christopher Fitzgerald, Jonathan Roumie, Neal Bledsoe, Marin Ireland, Samantha Soule, Heidi Armbruster, Sam Rosen, Maria Rusolo, Gena Oppenheim, Kathryn Dunn, Joe Komara, Allison Twyford, John Ottavino, Adam Mucci, Jo Twiss, Frank Girardeau, Catherine Curtin, Dan Da Silva, Keith Reddin, Ryan Simpkins, Ty Simpkins, Jon Sampson, Peter Barton, Kevin Barton, Evan Covey, Dylan Clark Marshall, Chandler Vinton, Bethann Schebece, Kelsey Bair, Jason Etter, Adair Moran, Tommaso Antico, Justin Misenhelder, Will Vought, Emaline Green, Isabella Zubor, Kal Thompson, Racheline Maltese, Lauren Hubbell, Duffy Jackson, Dan Zanes, Vince Giordano, Jon-Erik Kellso, Andy Burton, Will Reardon-Anderson, Alex Hoffman, Kristen Connolly, John Behlmann"
Silence,61%  6.6,"Drama, Guerra, Europeas",1h 50min,,Sakari Kirjavainen,(2011),", Joonas Saartamo, Lauri Tilkanen, Joanna Haartti, Terhi Suorlahti, Ilkka Heiskanen, Sinikka Mokkila, Kari Hakala"
The Cookout,50%  3.8 (3k),Comedia,1h 37min,,Lance Rivera,(2004),", Ja Rule, Tim Meadows, Jenifer Lewis, Quran Pender, Meagan Good, Farrah Fawcett, Eve Jeffers Cooper, Danny Glover, Queen Latifah, Jonathan Silverman, Frankie Faison, Kevin Phillips, Reg E. Cathey, Vincent Pastore, Wendy Williams, Ruperto Vanderpool, Gerry Bamman, Carl Wright, Jerod Mixon, Jamal Mixon, Godfrey, Shawn Andrew, Mark Cuban, Dhonna Harris Goodale"
The Love Letter,65%  6.1,"Drama, Romance, Comedia",1h 29min,12,Jérôme Bonnell,(2021),", Grégory Montel, Grégory Gadebois, Anaïs Demoustier, Léa Drucker, Nadège Beausson-Diagne, Pablo Pauly, Charlotte Clamens, Gaëtan Peau, Jean-François Sivadier, Solène Rigot, Stéphanie Aflalo, Nadir Legrand, Gabrielle Legrand, Océane Court-Mallaroni, Ismaël Sy Savané, Pierre Johann, David Sztanke, Christophe Ntakabanyura, Laura Chetrit, Yumi Narita, Alexandra Duvivier, Florian Maviel, Vincent Bramoullé, Pierre Girard, Joël Clabault"
To Die For,74%  6.8 (49k),"Crimen, Drama, Comedia, Música, Misterio & Suspense, Europeas",1h 46min,12,Anna-Lisa Himma,(1995),", Tove Lo, Ron-Jonas Verlin, Mia Moore, Anna-Liina Amer, Maia Mägi, Richard Raun, Marta Vunsh, Markus Monak"
Walking Tall,70%  6.2 (78k),"Drama, Acción & Aventura, Misterio & Suspense, Crimen",1h 26min,,Kevin Bray,(2004),", Dwayne Johnson, Johnny Knoxville, Neal McDonough, Kristen Wilson, Cobie Smulders, Michael Bowen, Ashley Scott, Kevin Durand, John Beasley, Barbara Tarbuck, Khleo Thomas, Andrew Tarbet, Patrick Gallagher, John Stewart, Eric Breker, Ryan Robbins, Michael Adamthwaite, Darcy Laurie, Fred Keating, Ben Cardinal, Kett Turton, Terence Kelly, Tom Scholte, Mark Houghton, James Ashcroft, Eric Keenleyside, Aaron Douglas, Michael Soltis, April Telek, Sandra Steier, Ben Cotton, Chelsie Amber McEachnie, Kaja Gjesdal, Melody Cherpaw, Alana Drozduke, Sandra Higueras, Ty Olsson, Ana Mirkovic, David Purvis, Beverley Elliott, Rita Edwards, Sarah Smith, Douglas Sheridan, Katina Robillard, Jacqueline Stewart, Artine Brown, Sandra-Jessica Couturier, Mike Dopud, Levi Woods"
The Donut King,77%  7.2,Documental,1h 34min,,Alice Gu,(2020),", Chuong Pek Lee, Susan Lim, Ted Ngoy, Daewon Song, Mayly Tao"
The Vigil,64%  5.8 (8k),"Terror, Misterio & Suspense",1h 28min,16,Keith Thomas,(2019),", Dave Davis, Lynn Cohen, Menashe Lustig, Malky Goldman, Fred Melamed, Nati Rabinowitz, Moshe Lobel, Spencer Zender, Dun Laskey, Hershy Fishman, Ronald Cohen, Efraim Miller, Lea Kalisch, Hunter Menken, Ethan Stone, Emilio Vitolo, Logan Macrae, Rob Tunstall, Bluma Gross"
Supernova,55%  4.8 (18k),"Ciencia ficción, Misterio & Suspense, Terror",1h 31min,16,"Jack Sholder ,  Walter Hill",(2000),", James Spader, Angela Bassett, Robert Forster, Lou Diamond Phillips, Peter Facinelli, Robin Tunney, Wilson Cruz, Eddy Rice Jr., Knox White, Kerrigan Mahan, Vanessa Marshall, Kevin Sizemore"
Cowboys,70%  6.4 (1k),Drama,1h 23min,12,Anna Kerrigan,(2021),", Steve Zahn, Jillian Bell, Sasha Knight, Ann Dowd, Gary Farmer, Chris Coy, John Reynolds, Bob Stephenson, AJ Slaght, John Beasley, Seth Breding, Angela Marshall, Steve Dodd, Armando Garcia, Heather Laplante, Emily Moran, Jared Broxterman, Matt Mhoon, Mari LaPlante, Sawyer Pule, Travis W Bruyer"
Saint Maud,74%  6.7 (39k),"Misterio & Suspense, Drama, Terror",1h 24min,16,Rose Glass,(2020),", Morfydd Clark, Jennifer Ehle, Lily Frazer, Lily Knight, Turlough Convery, Rosie Sansom, Marcus Hutton, Carl Prekopp, Noa Bodner, Takatsuna Mukai, Jel Djelal, Joanna Richardson, Jonathan Milshaw, Fiona Thompson, Sona Vyas, Faith Edwards, Evo Payne, Amanda Vinter, Caoilfhionn Dunne, Louise Port, Paul Edward Davies, Linda E. Greenwood, Susanne Schraps, Colin Thompson, Bianka Vago, Jake Wyatt"
Some Kind of Heaven,77%  7.2 (2k),Documental,1h 23min,12,Lance Oppenheim,(2021),", Dennis Dean, Lynn Henry, Anne Kincer, Reggie Kincer, Gary Schwartz, Barbara Stanton"
Little Fish,66%  6.2 (8k),"Crimen, Drama, Romance, Misterio & Suspense",1h 49min,,Rowan Woods,(2005),", Cate Blanchett, Sam Neill, Hugo Weaving, Martin Henderson, Noni Hazlehurst, Joel Tobeck, Susie Porter, Dustin Nguyen, Lisa McCune, Nina Liu, Daniela Farinacci, Linda Cropper, Ferdinand Hoang, Anh Do, Jason Chong, Natasha Beaumont, Bic Runga, Lisa Bailey, Lan Tran, Anthony Brandon Wong, Anthony Phelan, Harli Ames, Ian Roberts, Terry Serio, Steve Vella"
Skyfall,83%  7.8 (701k),"Misterio & Suspense, Acción & Aventura",2h 23min,16,Sam Mendes,(2012),", Daniel Craig, Judi Dench, Javier Bardem, Ralph Fiennes, Naomie Harris, Bérénice Marlohe, Albert Finney, Ben Whishaw, Rory Kinnear, Ola Rapace, Helen McCrory, Nicholas Woodeson, Bill Buckhurst, Elize du Toit, Ian Bonar, Gordon Milne, Peter Basham, Ben Loyd-Holmes, Tonia Sotiropoulou, Wolf Blitzer, Orion Lee, Dave Wong, Roger Yuan, Yang Liang, Yennis Cheung, Chooye Bay, Milorad Kapor, Huw Edwards, Elio Lo Tauro, Amir Boutrous, Nicholas Goh, Kurt Egyiawan, Oliver Johnstone, Harry Kershaw, Burt Caesar, Crispin Letts, Beatrice Curnew, Jim Conway, Jens Hultén, Michael Pink, Jo Cameron Brown, Anthony O'Donnell, Hannah Stokely, Wayne Gordon, Tom Wu, Jake Fairbrother, Christopher Sciueref, Daniel Adegboyega, Selva Rasalingam, Steve Barnett, Lee Nicholas Harris, Duncan Casey, Angela Tran"
Flight,4%,"Drama, Fantasía",7min,,Nicholas Verso,(2011),", Timothy Regard"
Junior,56%  4.7 (70k),"Familia, Romance, Comedia, Ciencia ficción",1h 49min,APTA,Ivan Reitman,(1994),", Arnold Schwarzenegger, Danny DeVito, Emma Thompson, Frank Langella, Pamela Reed, Aida Turturro, James Eckhouse, Megan Cavanagh, Welker White, Kathleen Chalfant, Merle Kennedy, Judy Collins, Mindy Seeger, Christopher Meloni, Antoinette Peragine, Cassandra Wilson, Ellen McLaughlin, Stefan Gierasch, Alexander Enberg, Judy Ovitz, Kevin West, Ira Newborn, Misa Koprova, Jodi Knotts, Michele Abrams, John Pinette, Fred Stoller, Anna Gunn, Lisa Summerour, Kristina Hardee, Leah Teweles, Maggie Han, Charmaine Alicia Mancil, Lawrence Tierney, Matt Mulhern, Christopher Pray, John Yang, Sara Peery, Jan Yanehiro, Dennis O'Donnell, Beth Campbell Fitzgerald, Lawrence T. Wrentz, Brianna McConnell, Brittany McConnell, Ryan Doss, Zachary Doss, Christian Giammichele, Kieran Giammichele, Monika Schnarre, Allen Walls, Kevin Sifuentes, Tom Dugan, Holly Wortell, Susan Dills, Maggy Myers Davidson, Peter Chen, Dean Jacobson, Mary Gordon Murray, Julie Nunis, Dayna Winston, Brandon Ross, Steven 'Lance' Carter, Charles Burnham, Dee Hengstler, Bubba Dean Rambo, Daryl Richardson, Jerald Vincent, Nina DeNike, Maurice Schwartzman, Kim Wolfe, Charles McGowan, Matt Birman, Tracey Walter"
The Jackal,70%  6.4 (118k),"Acción & Aventura, Misterio & Suspense, Crimen, Drama, Europeas",2h 4min,18,Michael Caton-Jones,(1997),", Bruce Willis, Richard Gere, Sidney Poitier, Diane Venora, J.K. Simmons, Mathilda May, John Cunningham, Jack Black, Stephen Spinella, Tess Harper, David Hayman, Ravil Isyanov, Maggie Castle, Richard Lineback, Karen Kirschenbauer, Daniel Dae Kim, Serge Houde, Leslie Phillips, Steve Bassett, Yuri Stepanov, Jonathan Aris, Richard Cubison, Bob Kingdom, Peter Sullivan, John Harrington Bland, Terry Loughlin, Walt MacPherson, Jim Grimshaw, Terrence Currier, Sophie Okonedo, Michael Caton-Jones, Laura Viederman, Gregory Porter Miller, Murphy Guyer, Philip LeMaistre, James McCauley, Victor Sobchak, Serge Christianssens, Boris Boscovic, Ewan Bailey, Danette Alberico, Debra Gano, Pamela Poitier, Eddie Bo Smith Jr., Dan Ziskie, Gayle Jessup, Bill Collins, David Gene Gibbs, James M. Helkey, Larry King"
The Judge,76%  7.5,Documental,1h 19min,,Erika Cohn,(2018),
The Night,62%  5.5 (3k),"Terror, Misterio & Suspense",1h 45min,,Kourosh Ahari,(2021),", Shahab Hosseini, Niousha Noor, George Maguire, Elester Latham, Michael Graham, Armin Amiri, Steph Martinez, Kathreen Khavari, Ali Kousheshi, Gia Mora, Leah Oganyan, Lily V.K., Amir Ali Hosseini, Boshra Haghighi, Hana Rahimzadeh, Sam Tarazandehpour, Cara Fuqua"
Arrival,5%,"Acción & Aventura, Documental",35min,16,"Dylan Dunkerton ,  Kyle Norbraten ,  Curtis Robinson",(2012),", Kyle Norbraten, Dylan Dunkerton, Curtis Robinson, Matty Miles, Ryan Howard, Mitch Ropelato, Stevie Smith, Bernardo Cruz, Logan Peat, Kenny Smith"
Billie,73%  6.8,"Música, Documental, Historia",1h 36min,,James Erskine,(2020),", Billie Holiday, Tony Bennett, Count Basie, Charles Mingus"
Better Days,52%  4.4,"Drama, Comedia",1h 30min,,Alessio Di Giambattista,(2019),", Cody Brotter, Zachary Mooren, Mitch Eakins, Sara Lindsey, Jodi Moore Lewis, Francesco Bauco, Jamie Gray Hyder, Emanuela Postacchini"
Breaking Fast,49%,,18min,,Mike Mosallam,(2015),", Ryan P. Shrime, Tom Berklund"
Memories of Murder,88%  8.1 (188k),"Crimen, Drama, Misterio & Suspense, Acción & Aventura",2h 11min,18,Bong Joon-ho,(2003),", Song Kang-ho, Kim Sang-kyung, Kim Roi-ha, Song Jae-ho, Byun Hee-bong, Go Seo-hee, Ryu Tae-ho, Park No-shik, Park Hae-il, Jeon Mi-seon, Seo Young-hwa, Woo Go-na, Choi Jong-ryul, Yoo Seung-mok, Shin Hyun-jong, Jung In-sun, Lee Jae-eung, Kwon Byung-gil, Park Hyun-young, Yoon Ga-hyun, Kwon Hyeok-Pung, Jo Deok-jae, Jo Moon-ee, Baek Bong-ki, Kim Joo-ryoung, Yeom Hye-ran, Park Jin-woo, Lee Dong-yong, Oh Yong, Son Jin-hwan, Park Tae-kyeong, Son Kang-gook, Son Jin-ho, Shin Woon-seob, Ha-kyeong Kim, Lee Da-il, Shim Sung-bo, Lee Kang-san"
Paranormal Activity 4,57%  4.6 (67k),"Terror, Misterio & Suspense",1h 27min,12,"Ariel Schulman ,  Henry Joost",(2012),", Katie Featherston, Kathryn Newton, Matt Shively, Aiden Lovekamp, Brady Allen, Stephen Dunham, Alexondra Lee, Georgica Pettus, Alisha Boe, Brendon Eggertsen, Constance Esposito, Ty Dawson, Brian Boland, Sprague Grayden, Sara Mornell, William Juan Prieto, Jennifer Hale, Emily Brobst"
Spontaneous,74%  6.5 (15k),"Comedia, Drama, Terror, Romance, Fantasía, Ciencia ficción",1h 42min,18,Brian Duffield,(2020),", Katherine Langford, Charlie Plummer, Yvonne Orji, Hayley Law, Piper Perabo, Rob Huebel, Marlowe Percival, Laine MacNeil, Clive Holloway, Doralynn Mui, Kaitlyn Bernard, Jared Ager-Foster, Mellany Barros, Chelah Horsdal, Luvia Petersen, Jarrett Carlington, Peter Bundic, Bzhaun Rhoden, Braeden Shrimpton, Eva Day, Darcey Johnson, Dolores Drake, Francisco Trujillo, Laura Di Cicco, Michael Brian, Ash Lee, Cameron Dent, Payton Lepinski, Melody Nosipho Niemann, Glen Pinchin, Jason Tremblay, Milo Shandel, Danielle Kremeniuk, Sophia Daly, Paul Moniz de Sa, Kayt Roth, Jason Sakaki, Jeremy Arnold, Brahm Taylor, Amanda Gray, Junnicia Lagoutin"
